frame_index	pts_seconds	enqueue_host_ns	proof_host_ns	proof_source	inferred_display_ns	ack2_host_ns
155	5.166667	163237882643208	163237907023958	drawable-presented	163237882532000	0
156	5.200000	163237915945833	163237940357291	drawable-presented	163237915852708	0
157	5.233333	163237949294250	163237973690666	drawable-presented	163237949202416	0
158	5.266667	163237982708375	163238007024000	drawable-presented	163237982548208	0
159	5.300000	163238007666375	163238032024083	drawable-presented	163238007565083	0
160	5.333333	163238041092458	163238065357500	drawable-presented	163238040895958	0
161	5.366667	163238074370125	163238090357416	drawable-presented	163238074249166	0
162	5.400000	163238107639291	163238132024166	drawable-presented	163238107559875	0
163	5.433333	163238149276500	163238173690875	drawable-presented	163238149197000	0
164	5.466667	163238182612500	163238207024250	drawable-presented	163238182524875	0
165	5.500000	163238215940291	163238240357666	drawable-presented	163238215879750	0
166	5.533333	163238249331833	163238265357750	drawable-presented	163238249200083	0
167	5.566667	163238282619333	163238307024416	drawable-presented	163238282539958	0
168	5.600000	163238315936583	163238340357750	drawable-presented	163238315868541	0
169	5.633333	163238341012000	163238365357875	drawable-presented	163238340879166	0
170	5.666667	163238382795250	163238407024583	drawable-presented	163238382550541	0
171	5.700000	163238407705583	163238423691208	drawable-presented	163238407576791	0
172	5.733333	163238441077500	163238465358000	drawable-presented	163238440896416	0
173	5.766667	163238482689708	163238507024750	drawable-presented	163238482536291	0
174	5.800000	163238507692916	163238532024750	drawable-presented	163238507548250	0
175	5.833333	163238549360500	163238573691500	drawable-presented	163238549198041	0
176	5.866667	163238582654666	163238607025000	drawable-presented	163238582524041	0
177	5.900000	163238607748583	163238632024916	drawable-presented	163238607550708	0
178	5.933333	163238641060458	163238665358291	drawable-presented	163238640890958	0
179	5.966667	163238682687000	163238707024958	drawable-presented	163238682540666	0
180	6.000000	163238707833416	163238732025166	drawable-presented	163238707554208	0
181	6.033333	163238749716208	163238773691791	drawable-presented	163238749245750	0
182	6.066667	163238782675666	163238807025125	drawable-presented	163238782532750	0
183	6.100000	163238807696208	163238832025125	drawable-presented	163238807564166	0
184	6.133333	163238849327333	163238873691875	drawable-presented	163238849201000	0
185	6.166667	163238874421958	163238898691958	drawable-presented	163238874211291	0
186	6.200000	163238916171833	163238940358708	drawable-presented	163238915881583	0
187	6.233333	163238941423625	163238965358708	drawable-presented	163238940930083	0
188	6.266667	163238982698291	163239007025416	drawable-presented	163238982522916	0
189	6.300000	163239015999166	163239040358791	drawable-presented	163239015855666	0
190	6.333333	163239049440791	163239073692125	drawable-presented	163239049191916	0
191	6.366667	163239082730375	163239107025541	drawable-presented	163239082564041	0
192	6.400000	163239107683291	163239132025583	drawable-presented	163239107547916	0
193	6.433333	163239149304041	163239173692375	drawable-presented	163239149205208	0
194	6.466667	163239182556541	163239207025708	drawable-presented	163239182512958	0
195	6.500000	163239215887708	163239240359125	drawable-presented	163239215849875	0
196	6.533333	163239249219166	163239273692458	drawable-presented	163239249181416	0
197	6.566667	163239282547000	163239307025833	drawable-presented	163239282513166	0
198	6.600000	163239315878875	163239340359250	drawable-presented	163239315851500	0
199	6.633333	163239349273625	163239373692625	drawable-presented	163239349180916	0
200	6.666667	163239382559625	163239407026000	drawable-presented	163239382519500	0
201	6.700000	163239415935750	163239440359333	drawable-presented	163239415848583	0
202	6.733333	163239449203791	163239473692750	drawable-presented	163239449176416	0
203	6.766667	163239482540750	163239507026083	drawable-presented	163239482514166	0
204	6.800000	163239515885583	163239532026208	drawable-presented	163239515845000	0
205	6.833333	163239549206500	163239573693125	drawable-presented	163239549180041	0
206	6.866667	163239582662166	163239607026250	drawable-presented	163239582530333	0
207	6.900000	163239616037500	163239640359583	drawable-presented	163239615870291	0
208	6.933333	163239649280708	163239665359708	drawable-presented	163239649186500	0
209	6.966667	163239682722958	163239707026375	drawable-presented	163239682536000	0
210	7.000000	163239716075833	163239740359833	drawable-presented	163239715857791	0
211	7.033333	163239749344708	163239773693166	drawable-presented	163239749189833	0
212	7.066667	163239782812833	163239807026500	drawable-presented	163239782553125	0
213	7.100000	163239807695625	163239832026541	drawable-presented	163239807556625	0
214	7.133333	163239841988791	163239865360000	drawable-presented	163239841655625	0
215	7.166667	163239882684958	163239907026833	drawable-presented	163239882523208	0
216	7.200000	163239915956750	163239940360125	drawable-presented	163239915846666	0
217	7.233333	163239941331833	163239965360041	drawable-presented	163239941226166	0
218	7.266667	163239982713291	163240007026833	drawable-presented	163239982527250	0
219	7.300000	163240007595458	163240032026916	drawable-presented	163240007544375	0
220	7.333333	163240041599791	163240065360250	drawable-presented	163240041547500	0
221	7.366667	163240082617208	163240107027000	drawable-presented	163240082539583	0
222	7.400000	163240116050625	163240140360375	drawable-presented	163240115873500	0
223	7.433333	163240149249541	163240173693708	drawable-presented	163240149201000	0
224	7.466667	163240182634958	163240207027083	drawable-presented	163240182522041	0
225	7.500000	163240216039166	163240240360500	drawable-presented	163240215878083	0
226	7.533333	163240249300750	163240273693875	drawable-presented	163240249173708	0
227	7.566667	163240275428000	163240298693875	drawable-presented	163240275136041	0
228	7.600000	163240307726875	163240332027250	drawable-presented	163240307597291	0
229	7.633333	163240341294666	163240365360666	drawable-presented	163240340884791	0
230	7.666667	163240382686708	163240407027375	drawable-presented	163240382540208	0
231	7.700000	163240416215666	163240440360750	drawable-presented	163240415852375	0
232	7.733333	163240449343833	163240473694166	drawable-presented	163240449199041	0
233	7.766667	163240482713666	163240507027500	drawable-presented	163240482545083	0
234	7.800000	163240508838166	163240532027583	drawable-presented	163240508424875	0
235	7.833333	163240549328541	163240573694250	drawable-presented	163240549200000	0
236	7.866667	163240582668791	163240607027708	drawable-presented	163240582519041	0
237	7.900000	163240608925458	163240632027666	drawable-presented	163240608618250	0
238	7.933333	163240641077541	163240665361041	drawable-presented	163240640904666	0
239	7.966667	163240682739000	163240707027791	drawable-presented	163240682566500	0
240	8.000000	163240716030041	163240740361166	drawable-presented	163240715873375	0
241	8.033333	163240741050125	163240765361166	drawable-presented	163240740883416	0
242	8.066667	163240774781416	163240798694583	drawable-presented	163240774590625	0
243	8.100000	163240807744791	163240832027958	drawable-presented	163240807586625	0
244	8.133333	163240841058041	163240865361375	drawable-presented	163240840881041	0
245	8.166667	163240882696666	163240907028041	drawable-presented	163240882541083	0
246	8.200000	163240907693666	163240932028166	drawable-presented	163240907553791	0
247	8.233333	163240941101791	163240965361541	drawable-presented	163240940886333	0
248	8.266667	163240982706708	163241007028250	drawable-presented	163240982527166	0
249	8.300000	163241016041125	163241040361625	drawable-presented	163241015885333	0
