frame_index	pts_seconds	enqueue_host_ns	proof_host_ns	proof_source	inferred_display_ns	ack2_host_ns
234	7.800000	162993786501875	162993823778208	consumed-notification	162993953172041	162993823783833
235	7.833333	162993823900250	162993859939958	consumed-notification	162993986507291	162993859943208
236	7.866667	162993860063000	162993896493791	consumed-notification	162994019847083	162993896498708
237	7.900000	162993896674333	162993933858958	consumed-notification	162994053152000	162993933864416
238	7.933333	162993933988833	162993951096125	consumed-notification	162994086499250	162993951102333
239	7.966667	162993951388291	162993987597666	consumed-notification	162994119836833	162993987601625
240	8.000000	162993987688958	162994023413875	consumed-notification	162994153190833	162994023417916
241	8.033333	162994023519916	162994060765041	consumed-notification	162994186531041	162994060768166
242	8.066667	162994060879416	162994098210958	consumed-notification	162994219832333	162994098215000
243	8.100000	162994098362250	162994133702666	consumed-notification	162994253173625	162994133706458
244	8.133333	162994133808916	162994152398458	consumed-notification	162994286510125	162994152401541
245	8.166667	162994152510500	162994189217958	consumed-notification	162994319866833	162994189220750
246	8.200000	162994189311416	162994226605708	consumed-notification	162994353158666	162994226608583
247	8.233333	162994226701666	162994262590541	consumed-notification	162994386507500	162994262594875
248	8.266667	162994262702500	162994300028291	consumed-notification	162994419826750	162994300032416
249	8.300000	162994300128000	162994317662000	consumed-notification	162994453174708	162994317665000
250	8.333333	162994317758708	162994354204708	consumed-notification	162994486501458	162994354208375
251	8.366667	162994354307833	162994391600166	consumed-notification	162994519844000	162994391603416
252	8.400000	162994391710833	162994429048750	consumed-notification	162994553166916	162994429052625
253	8.433333	162994429149916	162994466509625	consumed-notification	162994586509666	162994466515750
254	8.466667	162994466689875	162994485188750	consumed-notification	162994619828708	162994485192958
255	8.500000	162994485353375	162994541337708	consumed-notification	162994653168541	162994541342625
256	8.533333	162994541481666	162994558277916	consumed-notification	162994686499500	162994558283083
257	8.566667	162994558405250	162994595662916	consumed-notification	162994719840625	162994595665833
258	8.600000	162994595751041	162994631825708	consumed-notification	162994753172083	162994631830291
259	8.633333	162994631950833	162994650484458	consumed-notification	162994786499833	162994650488083
260	8.666667	162994650599208	162994685933291	consumed-notification	162994819831291	162994685936125
261	8.700000	162994686032791	162994721927500	consumed-notification	162994853158833	162994721931625
262	8.733333	162994722036416	162994758952916	consumed-notification	162994886491875	162994758957125
263	8.766667	162994759067416	162994796245583	consumed-notification	162994919822166	162994796249041
264	8.800000	162994796356458	162994832120458	consumed-notification	162994953157583	162994832123666
265	8.833333	162994832244375	162994867616166	consumed-notification	162994986486791	162994867620458
266	8.866667	162994867721833	162994885914333	consumed-notification	162995019831833	162994885917666
267	8.900000	162994886032166	162994923322666	consumed-notification	162995053169500	162994923325916
268	8.933333	162994923415333	162994959635375	consumed-notification	162995111852541	162994959638500
269	8.966667	162994959722958	162994995092166	consumed-notification	162995128165208	162994995096291
270	9.000000	162994995181500	162995032516541	consumed-notification	162995153166125	162995032520958
271	9.033333	162995032628458	162995069956208	consumed-notification	162995186511000	162995069961541
272	9.066667	162995070082083	162995107389791	consumed-notification	162995219830625	162995107393541
273	9.100000	162995107571083	162995126092375	consumed-notification	162995253165083	162995126096041
274	9.133333	162995126331750	162995163517333	consumed-notification	162995286497708	162995163521250
275	9.166667	162995163651250	162995199974666	consumed-notification	162995319903458	162995199978541
276	9.200000	162995200087333	162995217167541	consumed-notification	162995353168333	162995217171875
277	9.233333	162995217268208	162995251175708	consumed-notification	162995386505083	162995251181500
278	9.266667	162995251273875	162995288662500	consumed-notification	162995420042458	162995288667458
279	9.300000	162995288769958	162995326116833	consumed-notification	162995453182250	162995326121250
280	9.333333	162995326208208	162995362654583	consumed-notification	162995486495541	162995362660000
281	9.366667	162995362857500	162995400134250	consumed-notification	162995519872625	162995400138750
282	9.400000	162995400294708	162995418849750	consumed-notification	162995553175541	162995418852833
283	9.433333	162995418977833	162995456277541	consumed-notification	162995586526250	162995456280833
284	9.466667	162995456421125	162995492372083	consumed-notification	162995619844125	162995492379083
285	9.500000	162995492509458	162995530087083	consumed-notification	162995653163541	162995530099125
286	9.533333	162995530457250	162995563899458	consumed-notification	162995686492250	162995563909250
287	9.566667	162995564208041	162995582687125	consumed-notification	162995719822041	162995582696541
288	9.600000	162995582941791	162995637706875	consumed-notification	162995753161583	162995637711583
289	9.633333	162995637820916	162995656090541	consumed-notification	162995786860125	162995656096500
290	9.666667	162995656242625	162995693505083	consumed-notification	162995819819958	162995693508625
291	9.700000	162995693590416	162995730905916	consumed-notification	162995853164333	162995730908833
292	9.733333	162995730980625	162995749623583	consumed-notification	162995886491541	162995749628125
293	9.766667	162995749706000	162995785990916	consumed-notification	162995919825625	162995785994416
294	9.800000	162995786082750	162995823416833	consumed-notification	162995953158958	162995823420750
295	9.833333	162995823523375	162995860867250	consumed-notification	162995986492625	162995860871250
296	9.866667	162995860974666	162995898321541	consumed-notification	162996019821583	162995898324291
297	9.900000	162995898426750	162995917076500	consumed-notification	162996053156833	162995917080666
298	9.933333	162995917173416	162995954490375	consumed-notification	162996086488333	162995954494250
299	9.966667	162995954577750	162995991912250	consumed-notification	162996119827375	162995991916375
300	10.000000	162995991999000	162996029355458	consumed-notification	162996153163708	162996029359083
301	10.033333	162996029476291	162996065804208	consumed-notification	162996186495541	162996065806958
302	10.066667	162996065906333	162996084545291	consumed-notification	162996219826125	162996084549250
303	10.100000	162996084664291	162996121982458	consumed-notification	162996253161125	162996121986875
304	10.133333	162996122090458	162996159407958	consumed-notification	162996286486041	162996159411500
305	10.166667	162996159488583	162996196860750	consumed-notification	162996319824791	162996196864583
306	10.200000	162996196960375	162996234277000	consumed-notification	162996353157208	162996234281041
307	10.233333	162996234390041	162996253027583	consumed-notification	162996386517291	162996253031166
308	10.266667	162996253131958	162996290094250	consumed-notification	162996419828791	162996290097708
309	10.300000	162996290192916	162996327493083	consumed-notification	162996453162833	162996327496958
310	10.333333	162996327558500	162996364916416	consumed-notification	162996486492791	162996364920333
311	10.366667	162996364990625	162996383634250	consumed-notification	162996519825750	162996383639416
312	10.400000	162996383726041	162996421065916	consumed-notification	162996553159708	162996421069583
313	10.433333	162996421158708	162996458500375	consumed-notification	162996586489125	162996458504833
314	10.466667	162996458621791	162996495932958	consumed-notification	162996619825250	162996495937375
315	10.500000	162996496067208	162996533340791	consumed-notification	162996653161125	162996533344750
316	10.533333	162996533410500	162996551581750	consumed-notification	162996686490583	162996551585291
317	10.566667	162996551672375	162996589000250	consumed-notification	162996719830541	162996589003958
318	10.600000	162996589082541	162996626420291	consumed-notification	162996753158666	162996626424083
319	10.633333	162996626524041	162996662350833	consumed-notification	162996786487500	162996662355000
320	10.666667	162996662436916	162996699790708	consumed-notification	162996819823750	162996699795375
321	10.700000	162996700480666	162996718479166	consumed-notification	162996853155916	162996718482375
322	10.733333	162996718622000	162996755889666	consumed-notification	162996886489250	162996755893041
323	10.766667	162996755974125	162996792396875	consumed-notification	162996919853958	162996792401541
324	10.800000	162996792459416	162996829673958	consumed-notification	162996953154875	162996829679208
325	10.833333	162996829791833	162996865647125	consumed-notification	162996986490750	162996865654375
326	10.866667	162996865755375	162996884372458	consumed-notification	162997019822000	162996884376750
327	10.900000	162996884475125	162996919947500	consumed-notification	162997053173666	162996919951041
328	10.933333	162996920040708	162996957025250	consumed-notification	162997086640333	162996957029458
329	10.966667	162996957113125	162996992830958	consumed-notification	162997119814625	162996992834125
330	11.000000	162996992925708	162997029676875	consumed-notification	162997153148833	162997029680458
331	11.033333	162997029783666	162997066634916	consumed-notification	162997186486416	162997066637666
332	11.066667	162997066724583	162997084211750	consumed-notification	162997219820916	162997084214208
333	11.100000	162997084310416	162997121104916	consumed-notification	162997253147458	162997121107708
334	11.133333	162997121183166	162997158507083	consumed-notification	162997286987708	162997158509291
335	11.166667	162997158592791	162997194556291	consumed-notification	162997319813083	162997194558708
336	11.200000	162997194627291	162997230619416	consumed-notification	162997353151166	162997230623250
337	11.233333	162997230691166	162997249326125	consumed-notification	162997386492458	162997249328958
338	11.266667	162997249408041	162997286743250	consumed-notification	162997419822083	162997286746958
339	11.300000	162997286847541	162997323407791	consumed-notification	162997453149875	162997323411458
340	11.333333	162997323482833	162997360822875	consumed-notification	162997486486583	162997360826333
341	11.366667	162997360891666	162997397979666	consumed-notification	162997519823000	162997397982875
342	11.400000	162997398113583	162997433771083	consumed-notification	162997553152541	162997433774083
343	11.433333	162997433870750	162997450655708	consumed-notification	162997586485458	162997450659083
344	11.466667	162997450815000	162997488053250	consumed-notification	162997619813875	162997488056250
345	11.500000	162997488138041	162997525452458	consumed-notification	162997653156250	162997525455750
346	11.533333	162997525545833	162997562854500	consumed-notification	162997686478083	162997562857750
347	11.566667	162997562940083	162997599583875	consumed-notification	162997719811208	162997599587166
348	11.600000	162997599673666	162997618306000	consumed-notification	162997753146541	162997618309416
349	11.633333	162997618384375	162997655713458	consumed-notification	162997786480125	162997655717000
350	11.666667	162997655789458	162997690070250	consumed-notification	162997819813250	162997690073500
351	11.700000	162997690154291	162997727482833	consumed-notification	162997853145708	162997727485875
352	11.733333	162997727575041	162997763223250	consumed-notification	162997886477750	162997763227708
353	11.766667	162997763295750	162997799307958	consumed-notification	162997919810083	162997799311166
354	11.800000	162997799378708	162997817331375	consumed-notification	162997953147333	162997817334375
355	11.833333	162997817419166	162997853392625	consumed-notification	162997986480458	162997853395750
356	11.866667	162997853454166	162997890098125	consumed-notification	162998019817958	162997890101083
357	11.900000	162997890160500	162997927499791	consumed-notification	162998053150666	162997927503000
358	11.933333	162997927551083	162997964873291	consumed-notification	162998086482250	162997964876791
359	11.966667	162997964940041	162998000953291	consumed-notification	162998119820625	162998000956666
360	12.000000	162998001026083	162998018113916	consumed-notification	162998153151666	162998018119291
361	12.033333	162998018250958	162998054604000	consumed-notification	162998186486250	162998054610291
